budget,id,original_language,popularity,release_date,revenue,status,title,vote_average,vote_count,release_year,return,name_collection,day,month,genre,actors,director
30000000.0,862,en,81.000000,1995-10-30,373554033.0,Released,Toy Story,7.7,5415.0,1995,12.45,Toy Story Collection,Monday,October,"Animation, Comedy, Family","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette",John Lasseter
0.0,15602,en,101.000000,1995-12-22,0.0,Released,Grumpier Old Men,6.5,92.0,1995,0.0,Grumpy Old Men Collection,Friday,December,"Romance, Comedy","Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah, Burgess Meredith, Kevin Pollak",Howard Deutch
0.0,11862,en,106.000000,1995-02-10,76578911.0,Released,Father of the Bride Part II,5.7,173.0,1995,0.0,Father of the Bride Collection,Friday,February,Comedy,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern, Kieran Culkin, BD Wong, Peter Michael Goetz, Kate McGregor-Stewart, Jane Adams, Eugene Levy, Lori Alan",Charles Shyer
58000000.0,710,en,130.000000,1995-11-16,352194034.0,Released,GoldenEye,6.6,1194.0,1995,6.07,James Bond Collection,Thursday,November,"Adventure, Action, Thriller","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Gottfried John, Robbie Coltrane, Alan Cumming, Tch̩ky Karyo, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz, Billy J. Mitchell, Constantine Gregory, Minnie Driver, Michelle Arthur, Ravil Isyanov",Martin Campbell
0.0,21032,en,78.000000,1995-12-22,11348324.0,Released,Balto,7.1,423.0,1995,0.0,Balto Collection,Friday,December,"Family, Animation, Adventure","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Juliette Brewer, Jack Angel, Danny Mann, Robbie Rist, Sandra Dickinson, Frank Welker, Miriam Margolyes, Lola Bates-Campbell",Simon Wells
30000000.0,9273,en,90.000000,1995-11-10,212385533.0,Released,Ace Ventura: When Nature Calls,6.1,1128.0,1995,7.08,Ace Ventura Collection,Friday,November,"Crime, Comedy, Adventure","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton, Sophie Okonedo, Tommy Davidson, Adewale Akinnuoye-Agbaje, Danny D. Daniels, Sam Motoana Phillips, Damon Standifer, Andrew Steel, Bruce Spence, Tom Grunke, Arsenio 'Sonny' Trinidad",Steve Oedekerk
30250000.0,8012,en,105.000000,1995-10-20,115101622.0,Released,Get Shorty,6.4,305.0,1995,3.81,Chili Palmer Collection,Friday,October,"Comedy, Thriller, Crime","John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini, Jon Gries, Renee Props, David Paymer, Martin Ferrero, Miguel Sandoval, Jacob Vargas, Bobby Slayton, Linda Hart, Jeffrey J. Stephen",Barry Sonnenfeld
30000000.0,9598,en,89.000000,1995-07-18,254134910.0,Released,Babe,6.0,756.0,1995,8.47,Babe Collection,Tuesday,July,"Fantasy, Drama, Comedy, Family","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn, James Cromwell, Russi Taylor, Evelyn Krape, Michael Edward-Stevens, Charles Bartlett, Paul Livingston, Roscoe Lee Browne, Magda Szubanski, Zoe Burton, Paul Goddard, Wade Hayward, Brittany Byrnes, Mary Acres",Chris Noonan
18000000.0,9312,en,101.000000,1995-08-18,122195920.0,Released,Mortal Kombat,5.4,452.0,1995,6.79,Mortal Kombat Collection,Friday,August,"Action, Fantasy","Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson, Talisa Soto, Trevor Goddard, Chris Casamassa, Fran̤ois Petit, Keith Cooke, Ed Boon",Paul W.S. Anderson
55000000.0,10530,en,81.000000,1995-06-14,346079773.0,Released,Pocahontas,6.7,1509.0,1995,6.29,Pocahontas Collection,Wednesday,June,"Adventure, Animation, Drama, Family","Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Russell Means, Christian Bale, Judy Kuhn, Linda Hunt, Danny Mann, Billy Connolly, Joe Baker, Frank Welker, Michelle St. John, James Apaumut Fall, Gordon Tootoosis, Jim Cummings","Mike Gabriel, Eric Goldberg"
0.0,11525,en,92.000000,1996-01-12,2409225.0,Released,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,1996,0.0,The Lawnmower Man Collection,Friday,January,"Action, Science Fiction","Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget, Camille Cooper, Patrick LaBrecque, Crystal Celeste Grant, Sean P. Young, Mathew Valencia, Kevin Conway, Trever O'Brien, Richard Fancy, Castulo Guerra, Molly Shannon, Ellis E. Williams",Farhad Mann
3500000.0,10634,en,91.000000,1995-04-26,28215918.0,Released,Friday,7.0,513.0,1995,8.06,Friday Collection,Wednesday,April,Comedy,"Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr., John Witherspoon, Anna Maria Horsford, Regina King, Paula Jai Parker, Faizon Love, DJ Pooh, Tony Cox, Anthony Johnson, Bernie Mac, Meagan Good, Terri J. Vaughn, F. Gary Gray, Reynaldo Rey, Michael Clarke Duncan",F. Gary Gray
